algorithm,instance,objective,runtime
GRASP,cd97cf,126,276.0658848285675
GRASP,cd97cf,126,289.3246350288391
GRASP,cd97cf,126,261.49524974823
GRASP,cd97cf,126,295.96007776260376
GRASP,cd97cf,126,283.59039878845215
GRASP,cd97cf,126,293.90619683265686
GRASP,cd97cf,126,299.2758526802063
GRASP,cd97cf,126,291.79229831695557
GRASP,cd97cf,126,295.85281109809875
GRASP,cd97cf,126,298.29015254974365
GRASP,cd97cf,126,299.6194968223572
GRASP,cd97cf,126,291.8145730495453
GRASP,cd97cf,126,299.9307773113251
GRASP,cd97cf,126,291.66443824768066
GRASP,cd97cf,126,297.15708923339844
GRASP,cd97cf,126,295.03964710235596
GRASP,cd97cf,126,294.86473274230957
GRASP,cd97cf,126,286.17610907554626
GRASP,cd97cf,126,289.64252972602844
GRASP,cd97cf,126,291.8339886665344
GRASP,cd97cf,126,297.9222505092621
GRASP,cd97cf,126,285.6383681297302
GRASP,cd97cf,126,298.912269115448
GRASP,cd97cf,126,297.22456884384155
GRASP,cd97cf,126,299.3183002471924
GRASP,cd97cf,126,297.76880717277527
GRASP,cd97cf,126,298.48745346069336
GRASP,cd97cf,126,283.0593752861023
GRASP,cd97cf,126,279.92371463775635
GRASP,cd97cf,126,292.30682373046875
GRASP,802616,2647,293.57856249809265
GRASP,802616,2647,292.70786452293396
GRASP,802616,2647,294.79709029197693
GRASP,802616,2647,297.00232553482056
GRASP,802616,2647,298.20475935935974
GRASP,802616,2647,297.4316041469574
GRASP,802616,2647,299.8527171611786
GRASP,802616,2647,295.86705470085144
GRASP,802616,2647,295.8955671787262
GRASP,802616,2647,295.87444519996643
GRASP,802616,2647,292.69591426849365
GRASP,802616,2647,298.48833203315735
GRASP,802616,2647,295.0954158306122
GRASP,802616,2647,298.31463289260864
GRASP,802616,2647,294.1877164840698
GRASP,802616,2647,293.733008146286
GRASP,802616,2647,294.0677807331085
GRASP,802616,2647,294.54592394828796
GRASP,802616,2647,293.0394425392151
GRASP,802616,2647,297.0469295978546
GRASP,802616,2647,294.40277671813965
GRASP,802616,2647,294.99562430381775
GRASP,802616,2647,294.1548352241516
GRASP,802616,2647,293.99478363990784
GRASP,802616,2647,297.96556854248047
GRASP,802616,2647,291.9541790485382
GRASP,802616,2647,296.4969210624695
GRASP,802616,2647,295.44436597824097
GRASP,802616,2647,294.39690351486206
GRASP,802616,2647,293.9477412700653
GRASP,bc915b,5399,299.8415479660034
GRASP,bc915b,5399,299.8028645515442
GRASP,bc915b,5399,299.6276421546936
GRASP,bc915b,5399,299.7759714126587
GRASP,bc915b,5399,299.8286464214325
GRASP,bc915b,5399,299.3560972213745
GRASP,bc915b,5399,299.90184259414673
GRASP,bc915b,5399,299.98693776130676
GRASP,bc915b,5399,299.486891746521
GRASP,bc915b,5399,299.8026056289673
GRASP,bc915b,5399,299.83999276161194
GRASP,bc915b,5399,299.92886447906494
GRASP,bc915b,5399,299.507789850235
GRASP,bc915b,5399,299.77852272987366
GRASP,bc915b,5399,299.70412135124207
GRASP,bc915b,5399,299.7551929950714
GRASP,bc915b,5399,299.9741816520691
GRASP,bc915b,5399,299.9083950519562
GRASP,bc915b,5399,299.9757513999939
GRASP,bc915b,5399,299.982697725296
GRASP,bc915b,5399,299.049015045166
GRASP,bc915b,5399,299.94246077537537
GRASP,bc915b,5399,299.9103276729584
GRASP,bc915b,5399,299.92447423934937
GRASP,bc915b,5399,299.88450384140015
GRASP,bc915b,5399,299.97512221336365
GRASP,bc915b,5399,299.67213582992554
GRASP,bc915b,5399,299.66239500045776
GRASP,bc915b,5399,299.51511311531067
GRASP,bc915b,5399,299.7706687450409
GRASP,132167,139,253.44239830970764
GRASP,132167,139,266.9017713069916
GRASP,132167,139,262.8404657840729
GRASP,132167,139,248.97692728042603
GRASP,132167,139,255.98380637168884
GRASP,132167,139,267.91163897514343
GRASP,132167,139,263.3020393848419
GRASP,132167,139,265.46859335899353
GRASP,132167,139,263.7197015285492
GRASP,132167,139,254.10163927078247
GRASP,132167,139,247.2273712158203
GRASP,132167,139,245.54520297050476
GRASP,132167,139,266.0948905944824
GRASP,132167,139,268.3144874572754
GRASP,132167,139,264.5107970237732
GRASP,132167,139,246.66695618629456
