map_id,time,cumulative_score,rcl,nghbr_lvl,use_centroids
326092,198.90795373916623,0.9378048780487804,1,1,1
326092,239.0925142765045,0.9536585365853658,-1,1,1
326092,255.34002137184143,1.0,1,1,-1
326092,267.22502160072327,0.9445121951219512,-1,1,-1
326092,287.94707107543945,0.9451219512195121,-1,-1,1
326092,291.50860238075256,0.9536585365853658,1,-1,-1
326092,294.74349784851074,0.9621951219512195,1,-1,1
326092,297.3059959411621,0.8981707317073171,-1,-1,-1
7.4e+154,284.7898964881897,0.9718414227491664,1,1,-1
7.4e+154,285.93231678009033,0.9718414227491664,-1,1,1
7.4e+154,293.6288459300995,0.9940718784735088,1,-1,-1
7.4e+154,295.89541721343994,0.9829566506113375,-1,-1,1
7.4e+154,296.9345073699951,0.9670248240088922,-1,1,-1
7.4e+154,298.1836700439453,0.9722119303445721,-1,-1,-1
7.4e+154,298.37594175338745,1.0,1,-1,1
7.4e+154,298.72750639915466,0.9755464987032234,1,1,1
0ce66a,273.2338366508484,0.9626382005337399,-1,1,-1
0ce66a,278.82867789268494,0.98131910026687,-1,1,1
0ce66a,281.59867763519287,0.9984750285932139,1,1,-1
0ce66a,297.6342816352844,0.987037743042318,1,1,1
0ce66a,298.8618474006653,0.9664506290507053,-1,-1,-1
0ce66a,298.86599111557007,0.9809378574151735,-1,-1,1
0ce66a,298.99770879745483,1.0,1,-1,1
0ce66a,299.4496726989746,0.9946626000762485,1,-1,-1
1770a1,258.3481104373932,0.9848293299620733,1,1,-1
1770a1,271.8939917087555,0.9713442899283607,-1,1,1
1770a1,291.54134798049927,0.9810366624525917,-1,1,-1
1770a1,297.430449962616,0.9700800674252001,1,1,1
1770a1,297.6278553009033,1.0,1,-1,1
1770a1,298.1251139640808,0.9688158449220396,-1,-1,-1
1770a1,298.66939067840576,0.9936788874841972,1,-1,-1
1770a1,298.8499038219452,0.9835651074589128,-1,-1,1
4d5595,289.33406257629395,0.9770068576038725,1,1,1
4d5595,291.66740798950195,0.990722065348931,1,-1,-1
4d5595,296.7691872119904,0.9705526421944333,-1,-1,-1
4d5595,297.3343451023102,0.9701492537313433,-1,1,1
4d5595,297.7763891220093,0.9903186768858411,1,1,-1
4d5595,297.9519827365875,0.9794271883824123,-1,-1,1
4d5595,299.26385164260864,1.0,1,-1,1
4d5595,299.6306862831116,0.9653085921742638,-1,1,-1
6ebc5c,274.13205099105835,0.9611154752553024,1,1,1
6ebc5c,285.4423506259918,1.0,-1,1,1
6ebc5c,291.9385426044464,0.974076983503535,-1,-1,1
6ebc5c,295.799115896225,0.9575805184603299,-1,-1,-1
6ebc5c,296.11357402801514,0.9642576590730558,-1,1,-1
6ebc5c,296.66081857681274,0.9619010212097407,1,1,-1
6ebc5c,298.9769151210785,0.9787902592301649,1,-1,1
6ebc5c,299.98140239715576,0.9972505891594659,1,-1,-1
a1c5d6,263.71561884880066,0.9810838445807771,-1,1,1
a1c5d6,289.5126249790192,0.9749488752556237,1,1,-1
a1c5d6,290.10861897468567,0.9841513292433538,-1,1,-1
a1c5d6,292.1205611228943,0.9989775051124744,-1,-1,1
a1c5d6,295.2921781539917,0.9381390593047034,-1,-1,-1
a1c5d6,297.402410030365,1.0,1,-1,1
a1c5d6,298.9150357246399,0.9744376278118609,1,1,1
a1c5d6,299.42088651657104,0.9846625766871165,1,-1,-1
aedce2,237.3224494457245,0.9661303979678239,-1,1,-1
aedce2,277.57471776008606,0.9868755292125317,1,1,-1
aedce2,287.43701124191284,0.9847586790855207,1,1,1
aedce2,297.86705112457275,0.9953429297205758,1,-1,-1
aedce2,298.38081645965576,0.9902624894157493,1,-1,1
aedce2,298.6243689060211,0.993649449618967,-1,-1,1
aedce2,298.738881111145,0.9690939881456393,-1,1,1
aedce2,299.7925612926483,0.9911092294665538,-1,-1,-1
bfb64e,236.59988164901733,0.981587023235423,1,1,1
bfb64e,253.718297958374,0.966242875931609,-1,1,1
bfb64e,263.9623672962189,0.9807102148180622,1,1,-1
bfb64e,280.24554991722107,0.9307321350284963,-1,1,-1
bfb64e,297.55171632766724,0.9451994739149496,-1,-1,-1
bfb64e,298.0288383960724,0.995615957913196,1,-1,1
bfb64e,298.115428686142,0.9859710653222271,-1,-1,1
bfb64e,299.2334134578705,0.9592284085927225,1,-1,-1
d94664,256.25229263305664,0.9712615684364345,-1,1,-1
d94664,283.9587707519531,0.8894301022893327,-1,1,1
d94664,288.99992847442627,0.964929371651242,-1,-1,-1
d94664,294.26807618141174,0.9001461276181199,1,1,1
d94664,295.3800859451294,0.9556746225036532,1,1,-1
d94664,295.9119966030121,0.9595713589868485,-1,-1,1
d94664,296.83864760398865,0.9439844130540672,1,-1,-1
d94664,299.0770275592804,1.0,1,-1,1
